model,variant,problem_id,category,difficulty,success,first_shot,iterations,compilation_failed,wall_time_s,java_chars,error_category,solver_nodes,solver_backtracks,solver_fails,solver_restarts,solver_solutions_found
qwen,few_shot,4queens,queens,easy,True,True,0,False,35.25,2040,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,8queens,queens,medium,True,False,2,False,78.86,1033,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,sudoku_9x9,sudoku,hard,True,False,3,False,74.98,3435,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,30.46,2644,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,magic_square_4x4,magic_square,medium,True,False,1,False,56.09,3969,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,graph_color_7,graph_coloring,medium,True,False,3,False,64.13,2321,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,send_more_money,cryptarithmetic,hard,True,False,3,False,86.73,3185,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,job_scheduling,scheduling,hard,False,False,3,True,98.93,4835,compilation_error,,,,,
qwen,few_shot,latin_square_4x4,latin_square,easy,True,True,0,False,27.48,2185,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,knapsack_5,knapsack,hard,True,False,3,False,51.7,1981,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,4queens,queens,easy,True,False,1,False,60.24,3561,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,8queens,queens,medium,True,False,2,False,62.59,2386,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,sudoku_9x9,sudoku,hard,False,False,0,False,15.81,0,pipeline_exception,,,,,
haiku,few_shot,magic_square_3x3,magic_square,easy,True,False,1,False,47.29,4400,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_4x4,magic_square,medium,True,False,3,False,70.21,3370,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,graph_color_7,graph_coloring,medium,True,False,1,False,42.22,2616,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,send_more_money,cryptarithmetic,hard,False,False,3,True,93.72,5009,compilation_error,,,,,
haiku,few_shot,job_scheduling,scheduling,hard,False,False,3,True,97.64,4884,compilation_error,,,,,
haiku,few_shot,latin_square_4x4,latin_square,easy,True,False,2,False,57.37,3126,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,knapsack_5,knapsack,hard,False,False,3,True,71.37,2837,compilation_error,,,,,
deepseek,few_shot,4queens,queens,easy,False,False,3,True,213.1,1669,compilation_error,,,,,
deepseek,few_shot,8queens,queens,medium,False,False,3,True,146.62,1395,compilation_error,,,,,
deepseek,few_shot,sudoku_9x9,sudoku,hard,False,False,3,True,164.57,3299,compilation_error,,,,,
deepseek,few_shot,magic_square_3x3,magic_square,easy,False,False,3,True,150.57,2404,compilation_error,,,,,
deepseek,few_shot,magic_square_4x4,magic_square,medium,True,False,2,False,128.75,2356,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,53.86,2282,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,send_more_money,cryptarithmetic,hard,False,False,0,False,21318.93,0,pipeline_exception,,,,,
deepseek,few_shot,job_scheduling,scheduling,hard,True,True,0,False,137.57,4158,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,latin_square_4x4,latin_square,easy,True,True,0,False,51.56,2228,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,knapsack_5,knapsack,hard,True,True,0,False,47.92,2217,none,5.0,7.0,2.0,0.0,2.0
