model,variant,problem_id,category,difficulty,success,first_shot,iterations,compilation_failed,wall_time_s,java_chars,error_category,solver_nodes,solver_backtracks,solver_fails,solver_restarts,solver_solutions_found
qwen,zero_shot,4queens,queens,easy,True,False,1,False,91.59,458,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,8queens,queens,medium,True,False,1,False,140.88,277,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,sudoku_9x9,sudoku,hard,True,False,1,False,40.12,237,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,magic_square_3x3,magic_square,easy,True,False,1,False,53.99,237,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,magic_square_4x4,magic_square,medium,True,False,1,False,99.34,677,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,graph_color_7,graph_coloring,medium,True,False,1,False,42.87,272,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,send_more_money,cryptarithmetic,hard,True,False,1,False,79.57,453,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,job_scheduling,scheduling,hard,True,False,1,False,129.52,298,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,latin_square_4x4,latin_square,easy,True,False,1,False,45.58,234,none,5.0,7.0,2.0,0.0,2.0
qwen,zero_shot,knapsack_5,knapsack,hard,True,False,1,False,50.46,286,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,4queens,queens,easy,True,False,1,False,20.62,251,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,8queens,queens,medium,True,False,1,False,15.73,251,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,sudoku_9x9,sudoku,hard,True,False,1,False,12.54,252,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,magic_square_3x3,magic_square,easy,True,False,1,False,12.22,252,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,magic_square_4x4,magic_square,medium,True,False,1,False,15.42,252,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,graph_color_7,graph_coloring,medium,True,False,1,False,12.11,253,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,send_more_money,cryptarithmetic,hard,True,False,1,False,15.52,407,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,job_scheduling,scheduling,hard,True,False,1,False,15.69,310,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,latin_square_4x4,latin_square,easy,True,False,1,False,15.22,249,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,knapsack_5,knapsack,hard,True,False,1,False,18.53,245,none,5.0,7.0,2.0,0.0,2.0
qwen,cot,4queens,queens,easy,True,False,2,False,32.56,245,none,5.0,7.0,2.0,0.0,2.0
