model,variant,problem_id,category,difficulty,success,first_shot,iterations,compilation_failed,wall_time_s,java_chars,error_category,solver_nodes,solver_backtracks,solver_fails,solver_restarts,solver_solutions_found
qwen,few_shot,4queens,queens,easy,False,False,3,True,32.22,268,compilation_error,,,,,
qwen,few_shot,8queens,queens,medium,False,False,3,True,19.88,268,compilation_error,,,,,
qwen,few_shot,sudoku_9x9,sudoku,hard,False,False,3,True,25.04,244,compilation_error,,,,,
qwen,few_shot,magic_square_3x3,magic_square,easy,False,False,3,True,19.45,269,compilation_error,,,,,
qwen,few_shot,magic_square_4x4,magic_square,medium,False,False,3,True,19.59,269,compilation_error,,,,,
qwen,few_shot,graph_color_7,graph_coloring,medium,False,False,3,True,32.63,270,compilation_error,,,,,
qwen,few_shot,send_more_money,cryptarithmetic,hard,False,False,3,True,20.56,424,compilation_error,,,,,
qwen,few_shot,job_scheduling,scheduling,hard,False,False,3,True,18.28,302,compilation_error,,,,,
qwen,few_shot,latin_square_4x4,latin_square,easy,False,False,3,True,24.56,266,compilation_error,,,,,
qwen,few_shot,knapsack_5,knapsack,hard,False,False,3,True,18.89,262,compilation_error,,,,,
haiku,few_shot,4queens,queens,easy,True,True,0,False,21.13,1358,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,8queens,queens,medium,True,True,0,False,11.64,1584,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,sudoku_9x9,sudoku,hard,True,True,0,False,12.56,2764,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,11.72,2411,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_4x4,magic_square,medium,True,True,0,False,13.27,2345,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,10.41,1982,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,send_more_money,cryptarithmetic,hard,True,False,1,False,21.31,2498,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,job_scheduling,scheduling,hard,True,False,3,False,59.31,4932,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,latin_square_4x4,latin_square,easy,True,True,0,False,9.83,1685,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,knapsack_5,knapsack,hard,True,False,1,False,23.9,1856,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,4queens,queens,easy,True,True,0,False,94.59,1508,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,8queens,queens,medium,True,True,0,False,66.88,1247,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,sudoku_9x9,sudoku,hard,True,False,2,False,180.8,3000,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,54.83,2350,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,magic_square_4x4,magic_square,medium,True,False,1,False,77.48,1954,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,76.39,1916,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,send_more_money,cryptarithmetic,hard,False,False,3,True,353.51,2302,compilation_error,,,,,
deepseek,few_shot,job_scheduling,scheduling,hard,False,False,3,True,286.92,2457,compilation_error,,,,,
deepseek,few_shot,latin_square_4x4,latin_square,easy,True,False,1,False,134.56,2029,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,knapsack_5,knapsack,hard,True,False,1,False,66.83,1847,none,5.0,7.0,2.0,0.0,2.0
